Size (Litres),Brand,Price (Kshs)
500,Kentank,4800
500,Jumbo tank,6000
500,Vectus tank,4000
500,Toptank,5200
500,Techno tank,4900
500,Roto tank,9280
500,Mamba tank,5450
1000,Roto tank,13680
1000,Kentank,8000
1000,Jumbo tank,9774
1000,Toptank,8500
1000,Techno tank,8700
1000,Mamba tank,8750
1000,Royal tank,13000
1500,Roto tank,18160
1500,Kentank,11200
1500,Jumbo tank,13606
1500,Toptank,12100
1500,Techno tank,11400
1500,Mamba tank,11500
1500,Royal tank,13000
2000,Roto tank,24120
2000,Kentank,13500
2000,Jumbo tank,16707
2000,Toptank,15200
2000,Techno tank,14300
2000,Mamba tank,15500
2000,Royal tank,14000
2500,Roto tank,28380
2500,Kentank,18100
2500,Jumbo tank,19395
2500,Toptank,17200
2500,Techno tank,17100
2500,Royal tank,17000
3000,Roto tank,32430
3000,Kentank,20200
3000,Jumbo tank,25011
3000,Toptank,21300
3000,Techno tank,20000
3000,Mamba tank,22000
3000,Royal tank,20000
4000,Roto tank,49970
4000,Kentank,30000
4000,Jumbo tank,36755
4000,Techno tank,29000
4000,Mamba tank,31000
5000,Roto tank,60830
5000,Kentank,35000
5000,Jumbo tank,41669
5000,Toptank,35000
5000,Techno tank,33900
5000,Mamba tank,35000
6000,Roto tank,72970
6000,Kentank,42500
6000,Jumbo tank,55526
6000,Toptank,46700
6000,Techno tank,44400
6000,Mamba tank,44000
8000,Roto tank,97680
8000,Kentank,60500
8000,Toptank,63000
8000,Jumbo tank,73707
8000,Techno tank,60100
8000,Mamba tank,58000
10000,Roto tank,123865
10000,Kentank,69700
10000,Jumbo tank,93443
10000,Toptank,81600
10000,Techno tank,76100
10000,Mamba tank,77000
10000,Royal tank,72000
16000,Roto tank,227850
16000,Kentank,148500
16000,Jumbo tank,221400
16000,Toptank,190900
16000,Techno tank,165500
24000,Roto tank,339350
24000,Kentank,254500
24000,Jumbo tank,288500
24000,Toptank,266900
24000,Techno tank,274700
500,Premier tank,7000
1000,Premier tank,12000
1500,Premier tank,16000
2000,Premier tank,20000
2500,Premier tank,25230
3000,Premier tank,27600
4000,Premier tank,42550
5000,Premier tank,51800
6000,Premier tank,59900
8000,Premier tank,83200
10000,Premier tank,105500
16000,Premier tank,214500
24000,Premier tank,319500
500,Royal tank,5200
5000,Royal tank,41000
8000,Royal tank,83000
16000,Royal tank,214500
24000,Royal tank,319500
4000,Royal tank,29000
6000,Royal tank,44000
1000,Vectus tank,7499
2000,Vectus tank,12989
3000,Vectus tank,16499
4000,Vectus tank,20999
5000,Vectus tank,24999
10000,Vectus tank,52999
4000,Toptank,33750
2500,Mamba tank,14500
